"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","586.08","589.91","590.64","584.42","57.05M","-0.36%"
"12/30/2024","588.22","587.89","591.74","584.41","56.58M","-1.14%"
"12/27/2024","595.01","597.54","597.78","590.76","64.97M","-1.05%"
"12/26/2024","601.34","599.50","602.48","598.08","41.34M","0.01%"
"12/24/2024","601.30","596.06","601.34","595.47","33.16M","1.11%"
"12/23/2024","594.69","590.89","595.30","587.66","57.64M","0.60%"
"12/20/2024","591.15","581.77","595.75","580.91","125.72M","0.86%"
"12/19/2024","586.10","591.36","593.00","585.85","85.92M","-0.03%"
"12/18/2024","586.28","603.98","606.41","585.89","108.25M","-2.98%"
"12/17/2024","604.29","604.19","605.17","602.89","55.77M","-0.41%"
"12/16/2024","606.79","606.00","607.78","605.21","43.70M","0.43%"
"12/13/2024","604.21","606.40","607.13","602.81","35.90M","-0.02%"
"12/12/2024","604.33","606.58","607.16","604.33","31.54M","-0.52%"
"12/11/2024","607.46","605.78","608.43","605.50","28.68M","0.77%"
"12/10/2024","602.80","605.37","605.80","602.13","37.23M","-0.31%"
"12/09/2024","604.68","607.69","607.86","604.08","34.74M","-0.51%"
"12/06/2024","607.81","607.44","609.07","607.02","31.24M","0.19%"
"12/05/2024","606.66","607.66","608.48","606.30","28.76M","-0.16%"
"12/04/2024","607.66","605.63","607.91","604.95","42.79M","0.62%"
"12/03/2024","603.91","603.39","604.16","602.34","26.91M","0.05%"
"12/02/2024","603.63","602.97","604.32","602.47","31.75M","0.18%"
"11/29/2024","602.55","599.66","603.35","599.38","30.18M","0.62%"
"11/27/2024","598.83","600.46","600.85","597.28","34.00M","-0.30%"
"11/26/2024","600.65","598.80","601.33","598.07","45.62M","0.52%"
"11/25/2024","597.53","599.52","600.86","595.20","42.44M","0.34%"
"11/22/2024","595.51","593.66","596.15","593.15","38.23M","0.31%"
"11/21/2024","593.67","593.40","595.12","587.45","46.75M","0.54%"
"11/20/2024","590.50","590.38","590.79","584.63","50.03M","0.03%"
"11/19/2024","590.30","584.71","591.04","584.03","49.41M","0.37%"
"11/18/2024","588.15","586.22","589.49","585.34","37.08M","0.41%"
"11/15/2024","585.75","589.72","590.20","583.86","75.99M","-1.28%"
"11/14/2024","593.35","597.32","597.81","592.65","38.90M","-0.64%"
"11/13/2024","597.19","597.37","599.23","594.96","47.39M","0.05%"
"11/12/2024","596.90","598.68","599.29","594.37","43.01M","-0.31%"
"11/11/2024","598.76","599.81","600.17","597.00","37.59M","0.10%"
"11/08/2024","598.19","596.17","599.64","596.16","46.44M","0.43%"
"11/07/2024","595.61","593.08","596.65","593.00","47.23M","0.77%"
